Virus Name	Record ID	UniProt ID	ESMFold pLDDT	ColabFold pLDDT	Chosen Method	structure_file	protlen	Genome_composition	Kingdom	Phylum	Class	Order	Family	Genus	Species	Virus_names
human_betaherpesvirus_6a;_human_herpesvirus_6a	SPC53488.1_118	A0A2N9DYZ0	53.4	69.4	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-SPC53488.1_118_relaxed.pdb	57	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58363.1_118	P24448	44.7	62.2	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58363.1_118_relaxed.pdb	77	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58380.1_118	Q06094	52.4	73.1	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58380.1_118_relaxed.pdb	84	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58354.1_118	P24439	73.9	74.0	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58354.1_118_relaxed.pdb	85	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58404.1_118	Q69559	53.4	67.8	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58404.1_118_relaxed.pdb	87	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58412.1_118	Q69560	46.0	74.7	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58412.1_118_relaxed.pdb	88	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58332.2_118	P52460	35.2	44.1	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58332.2_118_relaxed.pdb	97	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58415.1_118	Q69561	39.5	79.3	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58415.1_118_relaxed.pdb	106	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58392.1_118	Q69548	30.9	38.2	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58392.1_118_relaxed.pdb	106	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58360.1_118	P24445	58.0	91.2	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58360.1_118_relaxed.pdb	114	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58340.2_118	Q69569	54.1	56.0	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58340.2_118_relaxed.pdb	153	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58411.1.1.1_118	P52340	79.8	92.7	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58411.1.1.1_118_relaxed.pdb	175	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58394.2_118	Q69550	37.2	85.5	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58394.2_118_relaxed.pdb	191	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58411.1.1.2_118	P52340	61.4	91.8	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58411.1.1.2_118_relaxed.pdb	201	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58378.2_118	P52473	40.6	71.0	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58378.2_118_relaxed.pdb	205	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58355.1_118	P24440	33.6	59.7	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58355.1_118_relaxed.pdb	216	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	SPC53499.1_118	A0A2N9DYY9	52.0	58.0	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-SPC53499.1_118_relaxed.pdb	244	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58367.1_118	P52456	33.7	85.4	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58367.1_118_relaxed.pdb	249	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58331.1_118	P52508	32.4	68.4	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58331.1_118_relaxed.pdb	250	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58383.1_118	Q06092	69.3	80.0	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58383.1_118_relaxed.pdb	252	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58330.1_118	P52345	92.3	94.0	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58330.1_118_relaxed.pdb	255	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58386.1_118	P52469	31.1	84.5	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58386.1_118_relaxed.pdb	258	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58417.1_118	P28865	32.8	81.8	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58417.1_118_relaxed.pdb	264	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58414.1_118	P52465	36.6	75.1	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58414.1_118_relaxed.pdb	276	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58334.1_118	Q89738	74.7	79.8	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58334.1_118_relaxed.pdb	290	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58398.1_118	Q69553	30.7	82.0	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58398.1_118_relaxed.pdb	293	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58406.1_118	P52444	36.8	37.8	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58406.1_118_relaxed.pdb	295	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58390.1_118	P24436	35.4	84.5	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58390.1_118_relaxed.pdb	296	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58409.1_118	P52348	27.9	79.4	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58409.1_118_relaxed.pdb	299	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58385.1_118	P52382	70.9	72.6	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58385.1_118_relaxed.pdb	301	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58405.1_118	P52527	69.6	73.9	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58405.1_118_relaxed.pdb	316	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58397.2_118	Q69551	66.0	63.0	ESMFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_EF-CAA58397.2_118_relaxed.pdb	334	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58357.1_118	P24442	24.9	90.5	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58357.1_118_relaxed.pdb	335	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58333.1_118	P52532	31.7	60.9	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58333.1_118_relaxed.pdb	342	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58364.1_118	Q04630	72.2	81.1	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58364.1_118_relaxed.pdb	344	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58440.2_118	P52380	79.9	71.1	ESMFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_EF-CAA58440.2_118_relaxed.pdb	347	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58351.1_118	P24438	28.5	89.2	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58351.1_118_relaxed.pdb	350	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58359.1_118	P24444	28.7	68.3	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58359.1_118_relaxed.pdb	353	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58429.1_118	Q01349	60.9	64.9	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58429.1_118_relaxed.pdb	366	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58430.1_118	Q01350	62.4	77.5	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58430.1_118_relaxed.pdb	373	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58379.1_118	Q06095	57.5	67.7	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58379.1_118_relaxed.pdb	376	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	SPC53507.1_118	Q89584	45.1	58.1	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-SPC53507.1_118_relaxed.pdb	389	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58399.1_118	Q69554	41.4	50.0	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58399.1_118_relaxed.pdb	389	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	SPC53472.1_118	Q89584	45.1	58.1	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-SPC53472.1_118_relaxed.pdb	389	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58407.1_118	P52439	65.6	56.7	ESMFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_EF-CAA58407.1_118_relaxed.pdb	393	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58400.1_118	Q69555	58.0	30.1	ESMFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_EF-CAA58400.1_118_relaxed.pdb	422	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58389.1_118	P24435	43.3	56.8	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58389.1_118_relaxed.pdb	432	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58401.1_118	Q69556	40.4	41.3	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58401.1_118_relaxed.pdb	433	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58356.1_118	P24441	22.9	72.2	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58356.1_118_relaxed.pdb	442	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58388.1_118	P24434	43.4	84.7	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58388.1_118_relaxed.pdb	458	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58413.1_118	P52441	25.8	71.9	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58413.1_118_relaxed.pdb	470	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58371.2_118	P52529	37.5	57.2	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58371.2_118_relaxed.pdb	474	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58416.1_118	P52463	27.5	89.2	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58416.1_118_relaxed.pdb	484	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58362.1_118	P24447	66.1	90.4	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58362.1_118_relaxed.pdb	488	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58343.1_118	Q00683	75.7	76.4	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58343.1_118_relaxed.pdb	490	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58437.2_118	Q01348	36.6	77.1	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58437.2_118_relaxed.pdb	503	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58376.2_118	P52354	33.2	63.2	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58376.2_118_relaxed.pdb	515	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58387.1_118	P24433	58.4	64.0	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58387.1_118_relaxed.pdb	528	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58431.1_118	Q01351	29.0	77.9	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58431.1_118_relaxed.pdb	535	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58384.1_118	P52387	27.2	79.0	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58384.1_118_relaxed.pdb	555	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58361.1_118	P24446	43.4	76.1	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58361.1_118_relaxed.pdb	562	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58393.1_118	Q69549	30.9	61.7	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58393.1_118_relaxed.pdb	609	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58368.2_118	P52453	31.7	70.7	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58368.2_118_relaxed.pdb	646	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58381.1_118	Q06093	25.4	27.4	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58381.1_118_relaxed.pdb	651	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58349.2_118	Q69572	23.1	34.7	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58349.2_118_relaxed.pdb	656	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
human_betaherpesvirus_6a;_human_herpesvirus_6a	CAA58366.1_118	P52375	22.0	83.2	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-CAA58366.1_118_relaxed.pdb	662	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
